year,p_average
1950,16.811613356881214
1951,17.370087025194692
1952,16.363624338624337
1953,20.36199849257885
1954,17.11147239091318
1955,17.26801913196841
1956,13.053573463573462
1957,13.716751700680273
1958,15.843834065765884
1959,16.634909361471863
1960,13.926355820105817
1961,20.310231088356087
1962,14.64942772633745
1963,14.919595238095237
1964,13.974960317460319
1965,13.661962081128747
1966,17.65212962962963
1967,12.277746212121214
1968,11.964956382001837
1969,13.923160173160172
1970,13.918548118548118
1971,13.795227272727274
1972,16.292948717948715
1973,14.35825517075517
1974,17.785201465201464
1975,15.396602564102569
1976,14.279965828924162
1977,16.795904977375567
1978,15.669099702380953
1979,13.894164332399626
1980,14.027926587301588
1981,13.531596508067096
1982,14.459816000992472
1983,14.439033882783884
1984,14.106688034188034
1985,14.864005316578849
1986,15.464973958333333
1987,15.349601379013146
1988,14.425049603174605
1989,14.83315580618212
1990,14.611910273368608
1991,15.647106481481481
1992,14.87510016025641
1993,14.361607142857142
1994,13.929910714285715
1995,14.287464985994399
1996,11.170454545454545
1997,11.497326203208555
1998,11.372159090909092
1999,11.517045454545455
2000,11.487522281639928
2001,11.506238859180037
2002,11.319518716577539
2003,11.49526515151515
2004,10.469444444444445
2005,10.707843137254903
2006,11.487373737373737
2007,11.491978609625667
2008,11.197979797979798
2009,10.49705882352941
2010,12.505847953216376
2011,12.50950292397661
2012,12.486732456140352
2013,11.500000000000002
2014,11.416241556431183
2015,10.498245614035088
2016,11.518037518037518
2017,10.518333333333333
2018,10.49047619047619
