year,constructor,wins,races,win_percentage
1950,Alfa Romeo,6,7,0.8571428571428571
1951,Alfa Romeo,4,9,0.4444444444444444
1952,Ferrari,7,8,0.875
1953,Ferrari,7,9,0.7777777777777778
1954,Mercedes,4,9,0.4444444444444444
1955,Mercedes,5,7,0.7142857142857143
1956,Ferrari,5,9,0.5555555555555556
1957,Maserati,4,9,0.4444444444444444
1958,Ferrari,2,11,0.18181818181818182
1959,Cooper,5,9,0.5555555555555556
1960,Cooper,6,10,0.6
1961,Ferrari,5,7,0.7142857142857143
1962,BRM,4,9,0.4444444444444444
1963,Lotus,7,10,0.7
1964,Ferrari,3,10,0.3
1965,Lotus,6,10,0.6
1966,Brabham,4,9,0.4444444444444444
1967,Brabham,4,11,0.36363636363636365
1968,Lotus,5,12,0.4166666666666667
1969,Matra,6,11,0.5454545454545454
1970,Lotus,6,13,0.46153846153846156
1971,Tyrrell,7,11,0.6363636363636364
1972,Lotus,5,12,0.4166666666666667
1973,Tyrrell,5,14,0.35714285714285715
1974,McLaren,4,15,0.26666666666666666
1975,Ferrari,6,14,0.42857142857142855
1976,McLaren,6,16,0.375
1977,Ferrari,4,17,0.23529411764705882
1978,Lotus,8,16,0.5
1979,Ferrari,6,15,0.4
1980,Williams,6,14,0.42857142857142855
1981,Brabham,3,15,0.2
1982,Williams,1,16,0.0625
1983,Brabham,4,15,0.26666666666666666
1984,McLaren,12,16,0.75
1985,McLaren,6,16,0.375
1986,McLaren,4,16,0.25
1987,Williams,9,16,0.5625
1988,McLaren,15,16,0.9375
1989,McLaren,10,16,0.625
1990,McLaren,6,16,0.375
1991,McLaren,8,16,0.5
1992,Williams,10,16,0.625
1993,Williams,10,16,0.625
1994,Benetton,8,16,0.5
1995,Benetton,11,17,0.6470588235294118
1996,Williams,12,16,0.75
1997,Williams,8,17,0.47058823529411764
1998,McLaren,9,16,0.5625
1999,McLaren,7,16,0.4375
2000,Ferrari,10,17,0.5882352941176471
2001,Ferrari,9,17,0.5294117647058824
2002,Ferrari,15,17,0.8823529411764706
2003,Ferrari,8,16,0.5
2004,Ferrari,15,18,0.8333333333333334
2005,Renault,8,19,0.42105263157894735
2006,Renault,8,18,0.4444444444444444
2007,Ferrari,9,17,0.5294117647058824
2008,McLaren,6,18,0.3333333333333333
2009,Brawn,8,17,0.47058823529411764
2010,Red Bull Racing,9,19,0.47368421052631576
2011,Red Bull Racing,12,19,0.631578947368421
2012,Red Bull Racing,7,20,0.35
2013,Red Bull Racing,13,19,0.6842105263157895
2014,Mercedes,16,19,0.8421052631578947
2015,Mercedes,16,19,0.8421052631578947
2016,Mercedes,19,21,0.9047619047619048
2017,Mercedes,12,20,0.6
2018,Mercedes,11,21,0.5238095238095238
