,year,constructor,podiums
0,1950,Alfa Romeo,12
1,1951,Alfa Romeo,9
2,1952,Ferrari,17
3,1953,Ferrari,16
4,1954,Mercedes,7
5,1955,Mercedes,10
6,1956,Ferrari,10
7,1957,Maserati,10
8,1958,Ferrari,14
9,1959,Cooper,13
10,1960,Cooper,14
11,1961,Ferrari,14
12,1962,BRM,8
13,1963,Lotus,9
14,1964,Ferrari,10
15,1965,Lotus,7
16,1966,Brabham,9
17,1967,Brabham,14
18,1968,Lotus,9
19,1969,Matra,10
20,1970,Lotus,7
21,1971,Tyrrell,11
22,1972,Lotus,8
23,1973,Tyrrell,15
24,1974,McLaren,10
25,1975,Ferrari,11
26,1976,McLaren,10
27,1977,Ferrari,16
28,1978,Lotus,14
29,1979,Ferrari,13
30,1980,Williams,18
31,1981,Brabham,7
32,1982,Williams,7
33,1983,Brabham,10
34,1984,McLaren,18
35,1985,McLaren,12
36,1986,McLaren,12
37,1987,Williams,18
38,1988,McLaren,25
39,1989,McLaren,18
40,1990,McLaren,18
41,1991,McLaren,18
42,1992,Williams,21
43,1993,Williams,22
44,1994,Benetton,12
45,1995,Benetton,15
46,1996,Williams,21
47,1997,Williams,15
48,1998,McLaren,20
49,1999,McLaren,16
50,2000,Ferrari,21
51,2001,Ferrari,24
52,2002,Ferrari,27
53,2003,Ferrari,16
54,2004,Ferrari,29
55,2005,Renault,18
56,2006,Renault,19
57,2007,Ferrari,22
58,2008,McLaren,13
59,2009,Brawn,15
60,2010,Red Bull Racing,20
61,2011,Red Bull Racing,27
62,2012,Red Bull Racing,14
63,2013,Red Bull Racing,24
64,2014,Mercedes,31
65,2015,Mercedes,32
66,2016,Mercedes,33
67,2017,Mercedes,26
68,2018,Mercedes,25
