year,constructor,wins,normalizedWins
1950,Alfa Romeo,6.0,0.8571428571428571
1951,Alfa Romeo,4.0,0.5
1952,Ferrari,7.0,0.875
1953,Ferrari,7.0,0.7777777777777778
1954,Mercedes,4.0,0.4444444444444444
1955,Mercedes,5.0,0.7142857142857143
1956,Ferrari,5.0,0.625
1957,Maserati,4.0,0.5
1958,Ferrari,2.0,0.18181818181818182
1959,Cooper-Climax,5.0,0.5555555555555556
1960,Cooper-Climax,6.0,0.6
1961,Ferrari,5.0,0.625
1962,BRM,4.0,0.4444444444444444
1963,Lotus-Climax,7.0,0.7
1964,Ferrari,3.0,0.3
1965,Lotus-Climax,6.0,0.6
1966,Brabham-Repco,4.0,0.4444444444444444
1967,Brabham-Repco,4.0,0.36363636363636365
1968,Lotus-Ford,5.0,0.4166666666666667
1969,Matra-Ford,6.0,0.5454545454545454
1970,Team Lotus,6.0,0.46153846153846156
1971,Tyrrell,7.0,0.6363636363636364
1972,Team Lotus,5.0,0.4166666666666667
1973,Tyrrell,5.0,0.3333333333333333
1974,McLaren,4.0,0.26666666666666666
1975,Ferrari,6.0,0.42857142857142855
1976,McLaren,6.0,0.375
1977,Ferrari,4.0,0.23529411764705882
1978,Team Lotus,8.0,0.5
1979,Ferrari,6.0,0.4
1980,Williams,6.0,0.42857142857142855
1981,Brabham,3.0,0.2
1982,Williams,1.0,0.0625
1983,Brabham,4.0,0.26666666666666666
1984,McLaren,12.0,0.75
1985,McLaren,6.0,0.375
1986,McLaren,4.0,0.25
1987,Williams,9.0,0.5625
1988,McLaren,15.0,0.9375
1989,McLaren,10.0,0.625
1990,McLaren,6.0,0.375
1991,McLaren,8.0,0.5
1992,Williams,10.0,0.625
1993,Williams,10.0,0.625
1994,Benetton,8.0,0.5
1995,Benetton,11.0,0.6470588235294118
1996,Williams,12.0,0.75
1997,Williams,8.0,0.47058823529411764
1998,McLaren,9.0,0.5625
1999,McLaren,7.0,0.4375
2000,Ferrari,10.0,0.5882352941176471
2001,Ferrari,9.0,0.5294117647058824
2002,Ferrari,15.0,0.8823529411764706
2003,Ferrari,8.0,0.5
2004,Ferrari,15.0,0.8333333333333334
2005,Renault,8.0,0.42105263157894735
2006,Renault,8.0,0.4444444444444444
2007,Ferrari,9.0,0.5294117647058824
2008,McLaren,6.0,0.3333333333333333
2009,Brawn,8.0,0.47058823529411764
2010,Red Bull,9.0,0.47368421052631576
2011,Red Bull,12.0,0.631578947368421
2012,Red Bull,7.0,0.35
2013,Red Bull,13.0,0.6842105263157895
2014,Mercedes,16.0,0.8421052631578947
2015,Mercedes,16.0,0.8421052631578947
2016,Mercedes,19.0,0.9047619047619048
2017,Mercedes,12.0,0.6
2018,Mercedes,11.0,0.5238095238095238
