year,team,wins,races,win_percentage
1950,Alfa Romeo,6,7,85.71428571428571
1951,Alfa Romeo,4,8,50.0
1952,Ferrari,7,8,87.5
1953,Ferrari,7,9,77.77777777777779
1954,Mercedes,4,9,44.44444444444444
1955,Mercedes,5,7,71.42857142857143
1956,Ferrari,5,8,62.5
1957,Maserati,4,8,50.0
1958,Ferrari,2,11,18.181818181818183
1959,Cooper,5,9,55.55555555555556
1960,Cooper,6,10,60.0
1961,Ferrari,5,8,62.5
1962,BRM,4,9,44.44444444444444
1963,Lotus,7,10,70.0
1964,Ferrari,3,10,30.0
1965,Lotus,6,10,60.0
1966,Brabham,4,9,44.44444444444444
1967,Brabham,4,11,36.36363636363637
1968,Lotus,5,12,41.66666666666667
1969,Matra,6,11,54.54545454545454
1970,Lotus,6,13,46.15384615384615
1971,Tyrrell,7,11,63.63636363636363
1972,Lotus,5,12,41.66666666666667
1973,Tyrrell,5,15,33.33333333333333
1974,McLaren,4,15,26.666666666666668
1975,Ferrari,6,14,42.857142857142854
1976,McLaren,6,16,37.5
1977,Ferrari,4,17,23.52941176470588
1978,Lotus,8,16,50.0
1979,Ferrari,6,15,40.0
1980,Williams,6,14,42.857142857142854
1981,Brabham,3,15,20.0
1982,Williams,1,16,6.25
1983,Brabham,4,15,26.666666666666668
1984,McLaren,12,16,75.0
1985,McLaren,6,16,37.5
1986,McLaren,4,16,25.0
1987,Williams,9,16,56.25
1988,McLaren,15,16,93.75
1989,McLaren,10,16,62.5
1990,McLaren,6,16,37.5
1991,McLaren,8,16,50.0
1992,Williams,10,16,62.5
1993,Williams,10,16,62.5
1994,Benetton,8,16,50.0
1995,Benetton,11,17,64.70588235294117
1996,Williams,12,16,75.0
1997,Williams,8,17,47.05882352941176
1998,McLaren,9,16,56.25
1999,McLaren,7,16,43.75
2000,Ferrari,10,17,58.82352941176471
2001,Ferrari,9,17,52.94117647058824
2002,Ferrari,15,17,88.23529411764706
2003,Ferrari,8,16,50.0
2004,Ferrari,15,18,83.33333333333334
2005,Renault,8,19,42.10526315789473
2006,Renault,8,18,44.44444444444444
2007,Ferrari,9,17,52.94117647058824
2008,McLaren,6,18,33.33333333333333
2009,Brawn GP,8,17,47.05882352941176
2010,Red Bull,9,19,47.368421052631575
2011,Red Bull,12,19,63.1578947368421
2012,Red Bull,7,20,35.0
2013,Red Bull,13,19,68.42105263157895
2014,Mercedes,16,19,84.21052631578947
2015,Mercedes,16,19,84.21052631578947
2016,Mercedes,19,21,90.47619047619048
2017,Mercedes,12,20,60.0
2018,Mercedes,11,21,52.38095238095239
