year,constructor_clean,wins,run
1950,Alfa Romeo,6,1950 Alfa Romeo
1951,Alfa Romeo,4,1951 Alfa Romeo
1952,Ferrari,7,1952 Ferrari
1953,Ferrari,7,1953 Ferrari
1954,Mercedes,4,1954 Mercedes
1955,Mercedes,5,1955 Mercedes
1956,Ferrari,5,1956 Ferrari
1957,Maserati,4,1957 Maserati
1958,Ferrari,2,1958 Ferrari
1959,Cooper,5,1959 Cooper
1960,Cooper,6,1960 Cooper
1961,Ferrari,5,1961 Ferrari
1962,BRM,4,1962 BRM
1963,Lotus,7,1963 Lotus
1964,Ferrari,3,1964 Ferrari
1965,Lotus,6,1965 Lotus
1966,Brabham,4,1966 Brabham
1967,Brabham,4,1967 Brabham
1968,Lotus,5,1968 Lotus
1969,Matra,6,1969 Matra
1970,Lotus,6,1970 Lotus
1971,Tyrrell,7,1971 Tyrrell
1972,Lotus,5,1972 Lotus
1973,Tyrrell,5,1973 Tyrrell
1974,McLaren,4,1974 McLaren
1975,Ferrari,6,1975 Ferrari
1976,McLaren,6,1976 McLaren
1977,Ferrari,4,1977 Ferrari
1978,Lotus,8,1978 Lotus
1979,Ferrari,6,1979 Ferrari
1980,Williams,6,1980 Williams
1981,Brabham,3,1981 Brabham
1982,Williams,1,1982 Williams
1983,Brabham,4,1983 Brabham
1984,McLaren,12,1984 McLaren
1985,McLaren,6,1985 McLaren
1986,McLaren,4,1986 McLaren
1987,Williams,9,1987 Williams
1988,McLaren,15,1988 McLaren
1989,McLaren,10,1989 McLaren
1990,McLaren,6,1990 McLaren
1991,McLaren,8,1991 McLaren
1992,Williams,10,1992 Williams
1993,Williams,10,1993 Williams
1994,Benetton,8,1994 Benetton
1995,Benetton,11,1995 Benetton
1996,Williams,12,1996 Williams
1997,Williams,8,1997 Williams
1998,McLaren,9,1998 McLaren
1999,McLaren,7,1999 McLaren
2000,Ferrari,10,2000 Ferrari
2001,Ferrari,9,2001 Ferrari
2002,Ferrari,15,2002 Ferrari
2003,Ferrari,8,2003 Ferrari
2004,Ferrari,15,2004 Ferrari
2005,Renault,8,2005 Renault
2006,Renault,8,2006 Renault
2007,Ferrari,9,2007 Ferrari
2008,McLaren,6,2008 McLaren
2009,Brawn GP,8,2009 Brawn GP
2010,Red Bull,9,2010 Red Bull
2011,Red Bull,12,2011 Red Bull
2012,Red Bull,7,2012 Red Bull
2013,Red Bull,13,2013 Red Bull
2014,Mercedes,16,2014 Mercedes
2015,Mercedes,16,2015 Mercedes
2016,Mercedes,19,2016 Mercedes
2017,Mercedes,12,2017 Mercedes
2018,Mercedes,11,2018 Mercedes
